Instruction Count, 0-0-0 Time
2, 0-0-0 0:00:00
2, 0-0-0 0:00:00
2, 0-0-0 0:00:00
2, 0-0-0 0:00:00
2, 0-0-0 0:00:00
2, 0-0-0 0:00:00
3, 0-0-0 0:00:00
4, 0-0-0 0:00:00
4, 0-0-0 0:00:00
5, 0-0-0 0:00:00
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
1, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
3, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
4, 0-0-0 0:00:00.010000
5, 0-0-0 0:00:00.010000
5, 0-0-0 0:00:00.010000
5, 0-0-0 0:00:00.010000
5, 0-0-0 0:00:00.010000
5, 0-0-0 0:00:00.010000
5, 0-0-0 0:00:00.010000
5, 0-0-0 0:00:00.010000
5, 0-0-0 0:00:00.010000
5, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
6, 0-0-0 0:00:00.010000
7, 0-0-0 0:00:00.010000
8, 0-0-0 0:00:00.010000
8, 0-0-0 0:00:00.010000
12, 0-0-0 0:00:00.010000
12, 0-0-0 0:00:00.010000
13, 0-0-0 0:00:00.010000
2, 0-0-0 0:00:00.020000
2, 0-0-0 0:00:00.020000
2, 0-0-0 0:00:00.020000
3, 0-0-0 0:00:00.020000
4, 0-0-0 0:00:00.020000
4, 0-0-0 0:00:00.020000
4, 0-0-0 0:00:00.020000
4, 0-0-0 0:00:00.020000
5, 0-0-0 0:00:00.020000
5, 0-0-0 0:00:00.020000
5, 0-0-0 0:00:00.020000
6, 0-0-0 0:00:00.020000
6, 0-0-0 0:00:00.020000
6, 0-0-0 0:00:00.020000
6, 0-0-0 0:00:00.020000
6, 0-0-0 0:00:00.020000
7, 0-0-0 0:00:00.020000
7, 0-0-0 0:00:00.020000
7, 0-0-0 0:00:00.020000
8, 0-0-0 0:00:00.020000
8, 0-0-0 0:00:00.020000
8, 0-0-0 0:00:00.020000
